# 3d layout of the graph.
# Machine-written by spread_graph.py, do not hand-edit.
# One line per node: position,x,y,z

,0.0,0.0,0.0
4,-0.027879508188678546,-40.20146003383793,4.258804474440536
47,8.286437709185826,-57.57115024828691,16.193615970972353
473,19.273719591765133,-80.59897763083762,32.47275658293703
4737,20.855877174585025,-79.07641376779539,32.86772318910651
4736,17.432091924559423,-81.4669537786113,31.539874391485164
4735,21.745511038659807,-85.72279562568191,32.873523930019445
47353,27.919311448943308,-97.98493429369904,35.08786708918424
473537,28.169668405540424,-97.82123841697381,32.17227413684953
4735372,28.481947616225966,-97.61754739601338,29.737638201970643
47353721,28.78930361674519,-97.422673090104,27.547752412332994
473536,30.233573908133163,-96.27386486132251,35.839533600757385
4735364,32.561258065073645,-93.97879386578812,37.49908647688623
47353647,31.889181633712784,-92.08869742550841,36.25745203545709
47353646,33.62912078407262,-93.49630817990193,35.33809999999215
47353645,33.822424059941696,-91.92948444299387,37.60603026047106
47353644,33.881787904854484,-95.68585266772894,36.57735833835376
47353643,29.606247836729477,-94.20613851352437,39.019814085421906
47353642,32.99490147712905,-94.01978151190646,41.69355858922033
47353641,34.94409181111879,-94.0063609290734,37.749473585703484
473535,25.43219086823105,-101.12956033542959,31.23227169787019
4735353,24.27683066695729,-102.64201008497002,29.17571209252155
47353533,23.299665075880707,-103.95832998589943,27.27717930643598
473535332,22.42777297322669,-105.17113167910145,25.484822903137268
4735353321,21.637115444156183,-106.30669203171679,23.799091255642637
473534,27.311130094406845,-100.08907647635439,34.8059443532137
473533,26.97032975685388,-96.7408396294747,37.47669264288527
4735334,26.59953639475817,-94.8046110851952,40.58535224565144
47353347,25.5583615788949,-93.86490226029987,42.43863403671503
47353345,25.973627826245753,-92.57796457725931,40.30207972159959
47353344,24.680371352915643,-94.40652707873281,39.25543154246989
47353343,24.408515192932324,-95.6753442058399,41.152834170738124
47353342,30.047428383628034,-93.45122139779043,46.92931839064724
47353341,26.425662451240253,-96.87989156706486,41.52629253364976
473532,30.602532216959208,-96.18017167088793,46.35109189285389
4735324,32.68916595588055,-94.24736632743539,45.95516971173489
47353247,32.842957385739865,-91.95495800957084,45.63454998025649
47353245,34.166859374528464,-95.98477363104979,45.473065065473435
47353244,33.51104868078028,-95.51049329649504,47.76040685377119
47353242,33.618759857971874,-93.00218348281193,47.74530519604793
47353241,34.99561614430304,-93.59604932302146,45.71051206141952
473531,33.08633513460834,-111.71842082567068,35.06488088488805
4735315,36.988623725603546,-121.8366157392258,35.33808768213011
47353157,37.529492546501,-123.98067312984509,35.659606636495
47353156,35.917761655313996,-120.99505541678518,37.0240890745254
47353155,32.8019432251258,-126.48671682621558,37.02643334409228
473531555,29.23763225169489,-130.30902452887238,38.4434096000009
4735315557,29.003057507103517,-132.76166149148264,38.17362978117851
4735315556,27.108177805767614,-131.1344192018899,38.86825789953832
4735315555,28.937318860048634,-128.91538817908813,40.11439525435906
4735315554,27.742771036938617,-129.14136540544914,37.40306338920532
4735315553,31.425572766296252,-131.3150887365068,38.89440196168722
4735315552,29.16695792017975,-131.47738208632825,40.5639887474403
4735315551,29.35114799380722,-131.0711517526802,36.26343213796028
47353154,39.21736599898043,-123.65621991750406,30.539061656137942
473531544,41.41911049754864,-125.35299107948501,26.210714007338016
4735315447,40.42745334409628,-123.35208452867282,25.388972825293497
4735315446,42.976922398936914,-126.84970436128924,25.386621338026576
4735315445,41.144246491529344,-127.44103283409919,27.034721928548258
4735315444,39.181204753073516,-126.13007557778737,25.553719484157888
4735315443,43.09564201186685,-124.84339658616229,27.439181013231988
4735315442,41.09819026795434,-125.96902249391304,23.839627132506216
4735315441,42.87210034307922,-124.17528061390274,24.8306774252723
47353153,41.66815790036087,-122.59396725041611,39.09655414752462
473531533,45.948011882502335,-123.13917220491997,42.33055376646495
4735315337,47.48956308629023,-124.13937764907945,41.04581854727795
4735315336,44.04926400897232,-123.55271900448777,43.89094065847344
4735315335,48.069470569204526,-122.7089010485689,43.101715759533256
4735315334,46.32198137312641,-121.42411437034843,41.191327861964766
4735315333,45.861266160179625,-121.5821251215556,44.0092723309108
4735315332,45.58119635386297,-125.57741226307245,42.08898043400488
4735315331,46.77621416384177,-124.47164637114899,44.30206589309369
47353152,38.19457550094701,-120.12400338841897,34.90991495471465
47353151,35.39010921155314,-121.46622394774724,33.919414989130196
4734,20.0823464927341,-80.68213342291567,30.378473967033976
4733,18.37853550089221,-78.71999604063099,31.467356508017886
4732,20.880151169197685,-83.78142811817828,38.48387013151427
47323,28.135753055655503,-97.48419533601118,58.77198558102603
473237,29.606176956158105,-98.17188807206324,60.243758615852855
473236,29.67179179837685,-103.5998862544561,64.19082938228945
4732363,30.432806426124642,-106.53361862849546,66.8246200061687
47323633,31.18816852424105,-109.30942771106629,69.4806231702776
473236332,32.6762686277693,-114.04631179882904,74.42494309040481
4732363327,33.649639478856656,-112.1761106788463,74.21044691321644
4732363326,31.490990854155697,-116.13488083157866,74.59223264967655
4732363325,33.8177081057942,-114.46682845964973,76.15731259008228
4732363324,34.425352274001874,-119.0371745516565,82.69711041997257
47323633244,36.12367606262818,-124.67543263378317,82.68745449718028
473236332447,37.54535724354046,-126.43659967799175,82.65047534801818
473236332446,34.06654193483904,-126.15014401827197,83.06903247362106
473236332445,35.600332546336254,-126.61682118300664,81.19076828876226
473236332444,34.223621871432535,-123.904392306266,81.33891912564218
473236332443,37.9555766892962,-123.65909766026496,82.79539300706475
473236332442,36.97132191456651,-124.56173748018159,80.58474957853373
473236332441,36.1426594947584,-125.60860245262204,86.28743786924531
4732363323,31.581047478660892,-114.39187403804898,72.3279538895849
4732363322,34.271496450943154,-115.02286679962877,73.2143490002514
4732363321,30.650220421252136,-113.25748005622395,75.25893771728272
473234,29.96529836381887,-102.57110379401482,70.8971530831416
4732343,30.78926070847577,-105.10033455550389,75.33881790540215
47323433,31.862860218654983,-108.6534841991142,79.95989661712271
473234332,34.20541091486026,-116.96880942147207,87.74585118473114
4732343327,33.95575645629863,-114.80853318066094,87.22487818505904
4732343325,33.83259634733864,-116.16494977701338,89.81155855789095
4732343324,34.76558208612358,-117.13056834393839,95.55962472137811
47323433244,35.05674846901561,-117.426423168325,98.9126857138832
473234332441,35.35355092502784,-117.85514825131155,101.94076239674571
4732343324415,35.661009723050086,-118.37839065624682,104.83517572929388
47323433244156,35.99540214219986,-118.97390475999318,107.74525171449156
473234332441565,36.327795254905254,-119.92289919907097,111.6383151222055
4732343324415657,38.63355281486512,-119.22494345477863,110.97976652479807
4732343324415656,37.59307034837589,-119.19579608696888,113.66633032189296
4732343324415655,35.68109347903264,-120.83400589718461,113.64987842094332
4732343324415654,36.16552309058777,-117.56612038806472,112.12774096557085
4732343324415653,37.916278910661255,-121.5983440167793,112.13246545558312
4732343324415652,35.560343613853355,-121.80616822467138,110.94320037343948
4732343324415651,34.23665127539307,-119.38210523613108,112.0407184166777
4732343323,31.976502947173998,-117.03104076446479,87.8601991600969
4732343322,36.27047215319459,-116.24502682510378,88.10439295999268
4732343321,35.14399763443686,-121.19132365776767,88.8921998585408
47323433214,36.27529549884989,-126.1676354741556,89.63602947670049
473234332147,34.39977423133958,-127.60377765123944,89.65641799626152
473234332145,37.55407493376555,-125.21745055491179,91.30863999012787
473234332144,38.55646833632565,-126.7371167648689,89.60271644329998
473234332143,34.770582841152866,-125.82568770146206,91.36894868423256
473234332142,36.6365790892271,-127.75603696939005,91.47738002997036
473234332141,36.73726857473222,-128.46340495610863,89.1354161870371
473233,28.903237358577503,-94.63790329267535,57.563100895054156
4732334,29.667583907447003,-91.09478700974448,55.879225257808784
