# 3d layout of every node in the WeakC4 graph.
# Format: one line per node: position,x,y,z. The root's position is empty.

,0.0,0.0,0.0
415357333,-32.13623708414677,99.77325139848838,62.769172017622495
4153573331,-27.096297254546098,106.52034724773522,67.42837855411025
4153573332,-24.653040980098417,104.8938464832942,66.09001421508088
4153573333,-27.188191171751786,105.42348054090844,61.27542955897508
4153573334,-24.8308265794218,102.49444299916166,64.08345654224672
4153573335,-28.958161224073166,103.86028340945263,67.88060625342786
4153573336,-26.47942461865766,107.4873952818638,63.6261139958598
4153573337,-29.812915371192393,107.0112258386208,65.48093113829832
41535734,-34.61619930243988,97.78561985715606,65.26420716633626
415357344,-32.69743962939399,98.9079340689262,62.83603422563318
4153573441,-36.556704847617446,93.13167112762409,66.2683445098795
4153573442,-38.35215919735872,96.82758078555123,70.69233939509407
4153573443,-37.20534124227191,99.39987519778104,69.41666795196097
4153573444,-33.54552956721156,96.34722889615735,69.91444444525652
4153573445,-39.741197174831065,96.86680039002069,66.47332535519394
4153573446,-35.787599964871845,94.09199908765714,70.41048648583639
4153573447,-39.0391241808479,94.09645619531592,68.53003122876541
41535735,-35.42242537076077,101.23823784181681,61.30882516586539
415357355,-32.98425329275275,99.63272242688645,62.048513662416234
4153573551,-40.32249848960595,100.61738507690772,61.447469631405504
4153573552,-36.33255479541037,105.98945511627537,59.09793510637786
4153573553,-40.984449882945164,102.92569835228305,57.90461423063803
4153573554,-41.72538411911992,103.18341476732814,61.0755407280759
4153573555,-37.95153182839736,103.15926827230635,56.63391014834249
4153573556,-38.910407834755205,105.47297169993615,62.852210746912625
4153573557,-39.78046469583562,106.2853957845849,59.45231466382291
41535736,-34.702858149987534,97.37018401465532,60.86180377051447
41535737,-30.027170406777383,97.98170638605957,61.187932711891726
4154,-15.508471051319761,68.22423754400023,42.85852571837128
4155,-14.305951637580073,69.94357024212692,38.180889224877085
4156,-19.54529405441093,82.32246350057763,40.593142277512264
41565,-25.150605880337423,94.14242810755033,39.65360831172203
415651,-20.419368933553027,97.436560501952,42.12176545482031
415652,-25.348231397908442,103.00540060110067,41.113473956435385
4156525,-27.15333890721009,109.5599715385735,40.58409873824092
41565255,-28.791913742604866,115.96761772745667,40.719556266374035
415652556,-29.54068379790133,124.01587940427166,36.28509605093058
4156525561,-31.9313083619804,120.08640770943597,38.40366481438317
4156525562,-28.110474008573874,124.43677771498089,42.160098207311506
4156525563,-32.48262269087778,124.72408118932462,41.00359743347062
4156525565,-29.666496276290157,121.02249424436017,43.44052475576071
4156525566,-33.39817679993138,121.29502458157037,41.875274840404586
4156525567,-27.266009568125078,121.32603580363634,39.455988192536196
415653,-23.79753653440199,92.16445227068375,45.130719160208564
4156534,-24.63769599568504,89.50999057334923,46.27874496256805
41565341,-28.70160682813897,89.38300792322383,39.5810547883052
41565342,-29.774694934052658,87.56970909527836,44.336230447541006
41565343,-31.18445632713071,92.41057496478139,44.20086989165208
41565344,-25.288234008751175,90.2330648330275,40.65238038649817
41565345,-26.23834765816578,93.59078475461133,42.26232540129148
41565346,-28.16665690156355,86.80183204702455,40.822878167174004
41565347,-31.67872407325583,89.46035768041462,42.12324241238367
415654,-25.824013264013605,105.4334305562761,39.42344867336744
4156545,-27.891242258335254,114.01709100646845,37.80153204499045
41565455,-29.68357123333219,123.1823278486507,35.527438995629716
415654556,-33.67639297047844,128.90771791273457,39.268322121652
4156545561,-31.914567313181053,131.60215362934537,31.360334552622184
4156545562,-31.35026728778985,128.4452611211433,40.12397191414311
41565455624,-31.450940088436532,132.7070003865819,34.35980591613768
415654556241,-34.063929123047686,136.2990784983033,43.13331497823867
415654556242,-30.36392870670527,135.42765929067372,43.62980180992497
415654556243,-34.156615007156375,134.12868860764203,45.27111495871146
415654556244,-30.47881573870137,132.15544127192572,43.55142079735607
415654556245,-36.506802595227555,133.41559312012907,41.6241015768767
415654556246,-34.359971272605655,131.18528186601182,43.8006137477652
4156545563,-29.845032520155172,134.75169228652527,31.477407423950133
4156545564,-32.53586452228331,136.83036114738172,33.03834351232456
41565455644,-32.95959053281037,140.77364075555104,31.042493307846357
415654556447,-33.24315869671464,144.3405337024368,29.090935322950397
4156545564473,-33.53400085444331,147.66041590567545,27.27096151653352
41565455644732,-33.90202091836817,151.2248628063451,25.548776599843308
415654556447323,-33.87747742243821,150.8638051193115,25.787999972080932
4156545564473231,-37.668857910844466,154.1833517679254,23.54540200756685
4156545564473232,-36.01698683770338,155.05718235808573,20.433560804241978
4156545564473233,-34.56464165493157,159.118537438104,21.182990908981175
4156545564473234,-32.93005119219664,153.26861758737266,20.333521748154713
4156545564473235,-35.69893010295186,156.5567591243561,25.989334265320743
4156545564473236,-32.18270420488128,157.24254635563437,24.857633217572243
4156545564473237,-30.627228274303075,154.53958155907117,23.028287000415872
4156545565,-28.125044693458143,133.34187002116556,34.33265059319487
4156545566,-36.79789572823222,134.26064143370513,33.78123891896353
4156545567,-32.73005091205249,137.28482222868263,37.70875516433048
41565455674,-36.13418957529922,142.04369773654247,38.10820476556539
415654556741,-32.5200484040645,142.31499588357573,44.29109315930401
415654556742,-33.503205355315124,138.00476656227778,42.33442157782511
415654556743,-34.88812901881317,144.67336391000902,42.130143583911554
415654556744,-36.56704596714794,141.56432214885973,43.84000206473796
415654556745,-31.414907599289062,143.53509411111418,40.69832401425558
415654556746,-35.86271899741154,149.45645392980558,43.23420515361756
415654556747,-35.95223459826253,142.0527654608454,38.41558447059433
415655,-25.107899179828806,94.19988811167671,39.67140118266816
4156554,-25.49843323239554,91.75964103945373,45.70361311981227
41565541,-28.52353662738684,96.78240025884772,36.78006883272058
41565542,-26.192277521826867,93.02223366190061,35.968297614121
41565544,-31.31004447175503,95.34839332239555,39.60532582484277
41565545,-28.23399445763446,97.79754114056279,39.395121618333086
41565546,-29.27746616987725,94.26530761891695,35.81168191017673
41565547,-29.396551462569786,91.6109393007963,37.15739799318797
415656,-22.12100847826853,97.55938957165297,39.277651841462486
4156565,-20.570557090964517,99.2266958220597,36.70612028535402
41565655,-20.57967893046287,99.21766636750485,36.71827209784936
415657,-23.016652470672806,99.31474827207606,42.81347966420784
4157,-16.570425519075208,66.05462860807587,39.21985780128812
42,40.01390533913435,23.25552270530288,45.735759128083785
426,78.50042079882768,17.54458664891515,62.15112423802993
4261,78.74950767937159,17.91824105630523,62.05396710001488
4262,79.03680584425291,21.146058824128204,63.226246916012016
4264,80.40111802597049,23.431656817359244,61.394653987090784
4265,94.56405487520561,6.578084596319009,85.14558004155148
42656,107.45464383176224,-6.074693668510986,103.91633924594919
426561,113.41572169325616,-4.951334913039189,112.49634214215757
4265616,117.3022691457404,-2.7873749810652306,116.56107258876423
42656166,120.86779566910744,-1.066256653873021,120.79851194331053
426561664,124.28775484100431,0.8654452110518019,122.07215092944068
4265616641,127.01903059092645,-1.3809560900132576,123.73922410474518
4265616643,122.23474276137765,3.21734674934539,125.74759981648525
4265616644,129.27906746021773,3.006507826300129,128.7126384412234
42656166444,127.73578577713975,1.503964563252491,132.33082137352065
426561664441,132.9115536494122,8.031272896338661,133.49525249532192
426561664443,130.4617422569429,5.943335901080092,133.17157134447154
426561664444,134.68189543629595,2.394073117959289,130.76836336143057
426561664445,136.80722639240494,7.063287879940886,135.96817148937004
426561664446,136.26616560280303,5.0700626320861915,132.69778792318564
426561664447,133.930915150376,6.40277444752062,130.08124157857273
4265616645,128.28208467606729,2.418417646373604,124.68681725548691
4265616646,124.35068321335314,0.8878535099701234,122.28726301990167
4265616647,126.03796151264017,4.436430633912874,125.86568792233457
426562,112.8275099942735,-6.402296659890376,114.45229950650992
4265626,116.5487636632266,-4.7737339863300186,119.34559024817213
42656266,119.95415475436012,-3.3472063451826743,124.28230745577856
426562664,125.72951388311398,-3.6021160374965007,130.53398508352745
4265626641,124.2036200880285,0.14887600226425887,127.48445606009788
4265626642,121.89637386017141,-1.876355486652123,132.28116924200597
42656266422,123.41615871217955,-1.603560841519927,129.72275047226435
426562664221,122.88096751146075,0.04389645866368341,136.69961211428952
426562664222,121.24451981251147,-6.237989568972218,135.48006041344263
426562664223,118.01396023065591,-4.129911898306819,133.50444990610586
426562664224,122.4220685614816,-3.0570669396035695,138.1864391671709
426562664225,119.29401088098795,-4.088034651902807,137.95326864085771
426562664226,119.77747294255562,0.32777810436786303,137.04773073087077
426562664227,117.32764305070042,-1.6058133983492051,135.78525676760398
4265626643,125.98950724040688,-3.2882734696501528,127.64821586362352
4265626644,128.79076077884065,0.05719060864335956,133.72398505597556
42656266444,131.73222946525192,-1.1233757110930696,138.8881355348153
426562664441,133.8701254044008,3.470399299046417,135.56250966338777
426562664442,135.22910291554257,-0.346701796388334,141.8181160053468
4265626644422,138.47613922051102,3.022128220459426,143.50325289807517
42656266444221,139.6985835955638,-3.3646155225708485,144.01653308458523
42656266444222,136.19324289468113,-4.703356744486683,144.67899688832017
42656266444223,137.90287289845864,-3.7802839581520504,147.68044742797528
42656266444224,138.23950766429567,2.247647799036839,143.8614701024979
42656266444225,140.33372556463888,-0.39881296614571743,148.88140378078586
42656266444226,133.8385070449667,-2.3394696277173592,146.61641043877637
42656266444227,135.57925741508038,-0.1946021129095444,148.47980049625124
426562664443,136.36400139518992,-0.0643368222266581,136.7244026363384
426562664444,132.12060186338599,-0.6494039853091041,139.01585245759532
426562664445,136.43518327284687,3.53734145394468,140.11887631141025
4265626644455,139.1685438263414,4.73477570101759,142.85611040242466
42656266444557,141.9170188278099,6.046245271222592,145.15257522154846
426562664445575,142.6483892202805,4.488594133782099,147.94271034790847
4265626644455751,143.32009594077707,9.537184526838999,142.96645520949298
4265626644455752,145.0083441438327,3.7071407342352987,151.3808836901586
4265626644455753,145.62604167207482,7.3177305630657274,149.9756106733812
4265626644455754,148.82481296491613,9.634206815277738,150.9791312478716
4265626644455755,145.69674589463526,10.464392017399126,149.17533275474136
4265626644455756,143.9201908708342,10.767843695199236,147.02211164940917
4265626644455757,148.10631328751424,7.407586827630294,146.46450806167726
426562664446,131.77196643471723,4.047466935081327,139.71768781399163
426562664447,131.74977281588082,-1.0912781902233055,138.82127555623407
4265626645,125.75131173596513,-3.5624646620186877,130.52368764122053
4265626646,120.64239674427084,-0.8594046414790297,128.63234374592244
4265626647,125.56642272939256,-3.53562922506138,130.46071767022195
426563,108.90150028296769,-8.016745021900805,89.7197481649113
426564,115.77346268416846,-18.512952025206726,118.84177719646449
4265646,122.16963942393348,-29.864500834454894,128.4785573140331
42656466,128.4062810290593,-41.00730979505304,138.23358433932748
426564664,134.52897822364102,-49.10235264129706,142.3954032871817
4265646641,136.23046268100447,-51.08168900566678,148.5400898170948
42656466414,133.374156419909,-52.03133993484274,153.75225859731177
426564664141,135.2926973181371,-48.94179141731305,152.3357536025929
426564664142,139.3953238083158,-52.7974718131005,151.31585395988796
426564664144,138.14488070045897,-49.13385718824728,150.7369867824787
426564664145,137.87196765970083,-51.475575997861384,154.9423819284443
426564664146,135.36852807914988,-55.992610475720085,148.15897172721185
426564664147,134.86764191259792,-56.73119484276662,154.0823158593756
4265646642,137.4503486198382,-53.84107570809519,147.38644784620482
42656466424,141.8725836433453,-56.731822299796306,150.09188745536503
426564664242,141.89245596272028,-56.982433647593425,150.46185940324796
4265646642422,140.0682887137786,-56.632082006472416,150.72192264221854
42656466424221,145.81600344810806,-62.26789351476668,151.78479629022704
42656466424222,146.58372796786537,-59.49363745795065,154.6910845180216
42656466424223,147.6683571765158,-56.09578433270515,153.1866310518617
42656466424224,148.99316569859982,-56.70363024318301,150.04337075944184
42656466424225,146.2276008589314,-60.40551755740178,147.99196952775603
42656466424226,148.94284128017085,-60.090090179683045,149.32633695731462
42656466424227,149.1031467380566,-60.157353044655025,152.59302827196737
426564664244,141.43858534101193,-56.52463199006822,149.96814391267395
426564664245,141.67878291072333,-56.56201528586527,149.9460713887332
426564664246,135.77618045821887,-57.9784245185837,147.83591354036415
4265646643,132.59974844713747,-52.55474781576778,150.30748493434984
426564664341,133.69515528559452,-52.03852540928069,153.55702824202902
426564664342,135.23228249660622,-54.178209419200826,151.7059933830742
4265646644,143.07682693618864,-64.36520158741317,159.93309933068176
42656466442,150.56003370287894,-74.4972377489364,169.97997294625628
426564664421,150.64491603726077,-74.49671628604904,170.25615572803306
426564664422,152.46090503587794,-74.34970234072667,175.5078625073425
4265646644222,154.06086273564338,-80.19370882638091,173.8875466202235
42656466442221,153.9278005778105,-71.34761408469123,178.3356090572435
42656466442222,155.58449241450816,-73.41029284328145,180.94761688910302
42656466442223,154.2062012544275,-77.11501756342942,182.14581803936719
42656466442224,155.42542871063864,-73.25132372127464,176.858545995534
42656466442225,152.504730635161,-72.88627986608114,181.34168899384358
42656466442226,150.35940776603584,-73.26414479762047,179.22908919549343
42656466442227,155.03215773335836,-80.25522189278358,178.990546212089
426564664423,151.66048582342952,-78.29150407020195,175.21361459876542
426564664424,159.01309387528312,-86.96753881415458,183.41394270555529
426564664425,150.5653958413753,-74.48558236570297,169.97128579836203
426564664426,150.66593524798623,-74.78557124337566,170.08301372524295
426564664427,152.93907825371215,-80.531186547816,172.236339392553
4265646645,130.81210693565413,-48.03757695016191,139.01635874375225
4265646646,134.02599115158588,-56.38055061482488,146.76943706580678
4265646647,133.22805718980547,-56.36654992677981,151.27015035765544
426564664742,135.53803726234682,-58.17449499574563,153.04120575720432
426565,111.6355395183779,-13.142839232409708,110.3421854674212
4265656,113.79365958382726,-19.30539561449454,111.10063208209341
42656566,115.74445283953209,-25.493655374521868,112.15886991307188
426565665,120.5464876040217,-30.489469881028512,113.68112354736772
4265656651,117.59071691680305,-35.45512399861916,116.0631150136985
4265656652,117.6566844994749,-34.20608880258092,108.29241009478443
4265656653,115.57398136652643,-30.158910803902433,104.61025408810097
4265656654,123.43050844203292,-38.52404981015109,123.21006323901891
42656566544,123.59076111585607,-37.479193028822486,124.2215474351868
426565665441,128.14740710938966,-40.87933748067181,132.73509488557784
426565665442,130.22258320120707,-42.84535485652807,130.00352523478819
426565665443,125.32327699314376,-45.56808319586045,130.11161340069708
426565665444,129.41171535011202,-44.01585806531437,133.9155360523695
426565665445,124.91653608074833,-43.31972423664197,133.43099867858928
426565665446,129.33517471982017,-45.86208909235135,129.69437252156578
426565665447,127.27016589477249,-46.59189236289644,132.8106698648045
4265656655,120.54196869094794,-30.491243026710183,113.6787763760481
4265656656,117.89537747595519,-30.26028455834635,108.26790468442266
4265656657,118.69440003004448,-31.75780238627611,117.65801096111655
426566,110.79637905713956,-7.103230080952183,129.21476862515823
4265664,111.77731134097795,-7.677316542353928,145.3692322705244
42656641,112.11999640834655,-4.238664591279538,152.06237490832075
42656642,111.22877305794809,-4.093669859161758,149.15338586728956
42656643,111.83311901369922,-7.554227568485471,145.69603562776607
42656644,110.67421862791949,-5.018567517861377,154.3783093644822
426566444,111.65056234214761,-7.363859767156008,158.10642775274843
4265664441,109.3789197177555,-1.308470991507306,160.7848500901151
4265664442,111.20335349921027,-6.891077835843528,158.2678752081001
4265664443,105.98749401541703,-5.7476666032082235,157.73380602801728
4265664444,105.65742747869955,-4.350059219919438,160.5278121481387
4265664445,110.24917558656622,-5.051018767287716,162.33037566208378
4265664446,108.61780963314028,-1.4582946659031912,157.47906646005285
4265664447,107.49781960845989,-4.086769823060962,163.60038650102226
42656644476,107.8166116485845,-4.2501708817744035,162.9535845558898
426566444761,103.30963432479642,-3.538175348789776,165.45518093034624
426566444762,102.994140923379,-3.085364662346619,168.61775801835964
426566444763,105.46152795030372,-7.07633115868611,168.3230504681356
426566444764,109.48736443827383,-4.290143000219035,167.72210493302165
426566444765,107.98650145465827,-3.3398311638742504,170.34552709892566
426566444766,106.37543415033706,-0.08234148883767399,167.5884880379687
426566444767,104.61593073743815,-3.1478991341637723,172.22436350148521
42656645,116.57293065009269,-6.4347130717067005,164.12466766437944
426566454,119.89982665532477,-6.073539044127753,178.18621680320814
4265664544,123.24488151888939,-5.692731092976271,192.09401639589942
42656645446,127.60858121568418,-5.683123128728614,202.99770393838193
426566454461,123.26526886587536,-4.6538542091809605,206.99167488842818
426566454462,127.61310627871565,-5.682133327917035,202.99258409935513
426566454463,126.47960499752946,-5.330085459066355,208.73251579973615
4265664544635,130.4719752369011,-9.159316636190761,210.7764070409283
42656645446351,122.92985648212273,-4.706118976419755,209.5552086079441
42656645446352,124.16455959250588,-8.425272662243813,211.89484962074954
42656645446353,128.88000003784214,-3.817367680898087,212.9755082558525
42656645446354,129.95229863484485,-8.853284130514602,211.336908355324
42656645446355,125.62794735593447,-2.780867512982279,213.4512200955036
42656645446356,124.31673322201165,-5.83451972080225,214.09459863467322
42656645446357,125.52499299701023,-2.0094303331086234,209.70705584276368
426566454464,129.2019342408087,-7.697605697346299,208.28330092022716
426566454465,130.1798891271945,-4.806047818977825,218.6378527878744
4265664544655,132.0447840496473,-4.539650682566925,227.19111240199229
42656645446551,131.37194736773358,-2.276455742352585,232.10330795789767
42656645446552,132.597111972243,-7.4750280040028,231.80390481891135
42656645446553,134.14975553569806,-4.599760632776482,236.56188603991
4265664544655346,136.2239827933783,-4.084450573695262,241.82371089761872
42656645446554,135.54239836204928,-4.534416223538761,229.27939250463388
42656645446555,136.3711930780672,-3.218098991399467,232.08614739053633
42656645446556,136.88179154404287,-3.803322250888583,238.95021546486763
426566454465564,132.42287686622964,-6.669908045802098,245.33859606242368
4265664544655641,139.7557089314428,-5.919432332381397,248.10552762268594
42656645446556415,141.1339971724753,-6.293561032054498,251.56087649265552
426566454465564151,142.83929554831678,-8.92654934526363,249.01361568406128
426566454465564152,142.2601104934861,-2.0789984134720387,251.57011174389947
426566454465564153,144.45478641353392,-8.13071014554968,251.91779130940284
426566454465564154,145.58120911319205,-4.261519453466212,252.65427382026056
426566454465564155,140.08131665835117,-8.724736393800805,251.78847962729859
426566454465564156,144.10193246542806,-3.713480915809314,247.08631228080586
4265664544655642,139.17148094347505,-0.6163910967302466,248.37222454882638
42656645446556425,141.43639463253058,3.856583044199342,253.60885056233906
426566454465564252,141.66025886305533,3.502145180546559,253.16352287099352
4265664544655642522,141.83473278041245,2.370563959348331,252.2473157293671
42656645446556425221,141.4358286303762,6.511431716153478,258.9666112269876
42656645446556425222,145.65498308991533,7.88391642536995,255.77084424117902
42656645446556425223,141.77006851132404,10.005691597614238,252.91721049964104
42656645446556425224,143.4172642104803,8.92405927969298,258.6852239270033
42656645446556425225,140.40389475522622,10.672608403127192,256.55238873525315
42656645446556425226,138.60563990771254,8.109697797117603,256.4929704275478
42656645446556425227,143.80802009913654,10.80077067760516,255.66217947381986
426566454465564253,141.23885925554814,3.2628843178776035,253.3546168484553
426566454465564254,145.22876529366653,-1.584202924419299,252.50911455771507
426566454465564255,141.96336704971245,2.909685323197849,249.6711729994749
426566454465564256,143.20127698609443,-0.40000423450254635,247.6352346481352
4265664544655644,143.00320339437238,-3.2211603371248807,250.2839822758056
4265664544655645,136.78497323694168,-6.2538961789105745,257.9408723575668
4265664544655646,141.79882139351494,-2.192335194425693,246.55136539718976
4265664544655647,137.80135002263594,-2.7037562549017315,251.0836376202466
426566454465564751,138.67365694163274,-4.079027049338228,253.09795806418344
426566454465564752,138.43166369736082,-1.2252520758349896,252.56580848999567
42656645446557,132.11999386854234,-4.535885437405663,227.34633589069477
426566454466,127.59169916665323,-5.6637014208794305,203.0699937026919
426566454467,125.82374007976271,-1.9103872368846833,207.22410229987673
42656646,115.81231150126014,-5.846883771287847,150.28609964936217
42656647,112.4537578560086,-8.714964698672318,151.21668624491494
426566476,112.56227930798838,-7.289434616450324,150.12827573442075
4265664761,112.63873743822204,-15.258046502217656,151.88027921564228
4265664762,115.55722631664285,-12.817838812951054,152.45360379196032
4265664763,114.20206194265361,-10.714361606161145,155.65131647430087
4265664764,109.05115167819375,-13.912276263102408,153.5582093835438
4265664765,109.54872223849993,-12.651635665526253,150.43585763706707
4265664766,109.9870099197004,-11.336139875234087,155.74498872294058
4265664767,112.78699936385645,-14.25859185277269,155.54025548555535
426567,107.68040069645612,-6.716955089252614,111.33107263978376
4265676,104.64466289825023,-5.610972202743581,112.90438191736176
42656766,102.55795717544643,-4.406183001256631,115.03827305264413
426567665,101.224411725336,-6.643047417516914,116.77796806991243
4265676651,96.8183170580999,-5.697214063208681,116.96704099312589
4265676652,100.25861388909841,-1.2285324090992402,120.21253959535922
4265676653,101.09070287792541,-6.3734248916524985,116.8787395098663
4265676654,96.24613807518105,-2.664630678202892,121.35401571328211
4265676655,100.02644930457788,-5.7444264809246866,120.91950258705818
4265676656,97.6831238493627,-1.705016128086817,115.91282678784275
4265676657,102.09969449631593,-1.2319906669968146,117.33583810561245
4266,79.97445952442283,21.26981994268443,58.21098852973323
4267,95.84944939498119,35.81627256591981,68.10372336158814
42675,111.72254466690421,51.39421212522107,75.07323755452062
426753,127.50138552646929,66.9068799495732,82.04815944776499
43,47.11708161887526,21.10548840791644,25.945504211771127
436,92.67280682360901,17.840930609311517,20.425906764260745
4361,97.53312040342648,11.747360709287943,30.682510466772964
43617,100.82537562279964,7.268204375652036,39.898111997779125
436175,104.23831775983244,2.8664149222748536,49.059609762987456
4361756,106.28054021532475,-1.6459144329034365,55.87825947433483
43617561,106.27495298461584,-1.6455637863769916,56.04496704880211
43617563,108.88811213568866,-6.636587069187316,58.61556868341386
436175635,114.70438672661508,-4.436479016199096,64.64783960451605
4361756351,110.54202835602727,-8.909102116478335,59.45706104346712
4361756353,115.05233542657594,-5.105687000500243,58.08649559439516
4361756354,112.2036084826579,-5.573696810461705,57.35407514301069
4361756355,114.32645170701785,-8.881682042425625,58.524573413015574
4361756356,118.4328032000756,-6.556479559600308,63.05651015178164
43617564,105.41744337792778,1.1799705415572237,59.4294904527466
436175646,103.12403858752657,3.4850661183852303,58.61926233415374
4361756466,100.3635321736853,7.077741284598878,59.54425800859142
43617565,106.25720513369384,-1.6436821210507722,55.89492895000382
43617566,111.88991803586403,-0.9412934919715691,60.39161519340062
436175665,116.10998862069692,-5.187725884815053,63.8764361395451
4361756651,115.18689747590415,1.884061242218571,63.81748402047622
4361756654,119.78562392396013,0.7943492740429567,65.88902839177057
43617566545,122.50961469326306,-4.432404799204861,67.46818257391902
436175665451,124.06898399941973,4.383679606997785,70.12331884577152
436175665453,129.10018925602742,0.3984852852587812,69.5011027983781
436175665455,126.39584350521473,2.997754136034587,67.08579824524118
436175665456,122.64705057854492,4.825965174769092,67.32837414876379
436175665457,123.50305668910418,3.0174989299859356,65.13633808349942
4361756655,117.01908090364867,-0.8021873598311543,60.52892674836534
4361756656,118.22149936583108,0.5084443776239318,63.28126271447284
43617567,108.12767623679201,-1.2392026362564954,61.05313486033534
436175675,112.09253233253155,-6.975800868318111,63.80895106741711
4361756751,106.58048781565633,-0.05759060887861572,63.023547146550726
4361756753,110.21743740412045,-3.8348122151536304,62.117226431033075
4361756754,110.03372847689364,2.2056509808875764,63.170447853287925
4361756755,106.67361022940547,-0.9986293020735186,66.16184117359707
4361756756,112.71087390303094,-0.13970609507227624,64.15386728439259
4361756757,108.56593356180491,1.4728763985981044,66.09943329399819
4362,89.76137748187898,14.624553544465885,44.54546479290999
43627,95.48611703160206,6.607696910081569,53.51236362845389
436275,101.1927089104414,-1.0921654816162112,61.86177942087848
4362756,104.74563332955026,-10.540748240482563,72.45791781204454
43627561,106.93191403486225,-5.757400435198417,64.4942088977881
43627562,104.80222346080834,-10.517864252876203,72.42024361426672
43627563,108.78116872255374,-10.44412127516604,64.01263721715678
436275635,117.1203764127525,-4.0334684344056395,66.64071903218377
4362756351,112.15794022588813,-9.00817139337232,63.12444260353831
4362756352,111.78672936705745,-11.809907410875477,68.79209823399104
4362756353,113.16082375127701,-12.118618804863141,63.75146131692549
4362756354,111.40512275741705,-12.725425687069041,66.07129128295458
4362756355,115.25200349030891,-12.348745138606503,67.0341693269269
4362756356,120.65633365519678,-8.220044571163148,69.98153791884613
436275635654,124.90451500126616,-5.208308680119199,70.71056605216994
4362756357,110.29188352494276,-8.120367077526373,68.48683533255884
43627564,107.93003344563331,-18.026800657626378,61.18729707144815
436275644,105.71169017432669,-22.594699227983156,53.95254579208762
4362756441,109.76411990519658,-28.115198133487656,52.43240724464861
4362756442,106.55254953454848,-31.713793381790516,53.08572575327219
4362756444,111.92559284268074,-32.023139228179836,54.23774482970535
43627564446,115.79442814268954,-38.05636215085055,55.02434660024097
436275644466,119.3553332206684,-44.111652512269394,55.41691042226411
4362756444663,123.12777187093864,-46.410662954469394,58.56375001245774
43627564446631,123.435785458124,-53.35690601858702,54.899900111085536
43627564446632,122.25233480401415,-50.20770127518713,53.21427714623543
43627564446633,126.4593980364984,-54.99316246212771,57.05377582821098
436275644466333,129.4704567287859,-59.202767428267336,58.02539682641014
4362756444663335,131.97970124448318,-63.73493662325926,58.48305438312836
43627564446633355,135.97940012619077,-65.8575844446604,60.153911420883446
436275644466333551,132.48491863719548,-69.86819192923998,58.31356658965589
436275644466333552,137.43024652412674,-72.1272345890621,60.80559265046158
4362756444663335521,137.47734397212398,-71.80467892544914,60.34517529792016
43627564446633355211,140.92273775222492,-76.61364478029729,60.252155670153655
43627564446633355212,140.78606659185056,-77.97779181193131,63.532874672879245
436275644466333552122,139.9781923809747,-76.63067243859585,63.07062772145917
4362756444663335521221,142.4286808035127,-84.28585321529437,64.403210702878
4362756444663335521222,145.68681840272495,-81.61605803619224,62.9474522378136
4362756444663335521223,145.29728533027372,-79.4197349911293,66.1448808397923
4362756444663335521224,140.36277543761048,-82.20357282698461,66.73870139598363
4362756444663335521225,144.1479767494162,-82.48687863302092,66.97554340813689
4362756444663335521226,142.26977262562582,-82.7319085317882,61.419250485711316
