# 3d layout of every node in the WeakC4 graph.
# Format: one line per node: position,x,y,z. The root's position is empty.

,0.0,0.0,0.0
4,-0.008229735205720783,24.856123976273203,31.392297962030355
41,-7.843031847144267,47.95298553817173,35.36131654692344
415,-17.132101946688714,63.01969485093737,38.164863262316885
4151,-19.279812308921237,72.32574753282904,39.98294812532859
4152,-13.51497386585098,72.8576483780104,42.249007485584144
4153,-20.747652124694977,77.8850069785937,44.82356552740877
41535,-18.354914477763373,84.63968910770205,51.9600952438439
415351,-28.025544289667828,85.05394066895755,52.00708190890617
4153516,-25.817850984803606,81.90395611571451,53.86277053808498
41535167,-29.360247260546107,78.00365908519792,56.7426471795325
415352,-29.791901162672733,84.9747389311029,49.77237609619581
4153524,-19.64667144359702,92.10529593810254,47.80600998184245
41535241,-28.474271983543858,81.68030052381891,44.544166054132646
41535242,-30.46875283938585,82.2101015510526,49.430560248422644
41535243,-33.49970120650723,83.46616835139113,47.71815243399351
41535244,-32.9066185152881,84.08886499309513,44.23741003274404
41535245,-24.12463736687605,88.38645900476982,47.62019761538553
41535247,-33.833201657295625,87.74633885906552,48.323208966094356
415353,-25.917919018701397,87.87769172893026,54.76537064528173
4153535,-22.092665605297096,86.44416331115492,58.35997539339982
41535355,-22.2246761433369,86.73398173223967,62.16429688180479
415353556,-21.44056898446062,86.57331873121004,65.63517698312016
4153535567,-20.516324573579848,86.6035815879563,71.98116515707603
415354,-18.962118597680604,84.83869918792888,51.824255916683335
415355,-23.66906909395817,89.30660959012206,49.829458778046885
4153554,-39.3977906742345,89.74272282611406,42.7703726018742
41535541,-18.826882987412883,91.68288142754164,45.92942645656941
41535543,-25.55374014544551,93.11636281576288,48.46419538204741
41535544,-19.33870731474218,88.00360895401498,46.50575901759973
41535545,-21.20696476569577,94.78177875925525,48.092107176036855
41535547,-22.21111404254661,92.54351665122975,51.201960977081654
415357,-30.080238385658625,92.96910177263071,55.87493423756013
4153573,-28.437154221122476,97.4034672998938,60.67047453473166
41535731,-35.738380164886266,105.36661031232151,69.04454714758693
41535732,-28.60306772964632,97.47323312292129,60.77638599884049
41535733,-29.945166496614267,104.09029351493581,64.94777386163169
415357333,-38.37454866338257,93.10145235780675,60.43255217064252
4153573331,-26.31004122891209,107.68680172105043,68.30101179176295
4153573332,-23.46020539076719,105.74988287883414,66.72867953210525
4153573333,-26.303892944705744,106.53940173226424,61.09998889583991
4153573334,-23.5460687489474,103.05624816446206,64.42005756727885
4153573335,-28.332489651558614,104.6736379100919,68.96657187860485
4153573336,-25.602639251448952,108.81820971995792,63.83813870790694
4153573337,-29.45644440199728,108.40483821443433,66.01526830323624
41535734,-36.34322904639685,97.39279711549052,67.13524422384442
415357344,-27.423476804388862,102.56829247481933,55.84512069749702
4153573441,-37.28878596952277,92.11452619716925,67.00444535192511
4153573442,-39.279987961742336,96.56295763295364,72.04448052191205
4153573443,-38.03663226447246,99.55313038073179,70.69806172577414
4153573444,-33.73045204654351,95.9380102181889,71.33223542739952
4153573445,-41.041278939296625,96.5535841596537,67.21430424859366
4153573446,-36.287343988782474,93.33030234269852,71.72135040338753
4153573447,-40.10296976465453,93.35599314829898,69.50160762753873
